学校,地区,专业方向,导师,推荐建议
飞海科技网络有限公司大学,天津,智能控制,陶教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,北京,绿色建筑设计,王教授,科研氛围浓厚，适合深入发展
联软网络有限公司大学,哈尔滨,建筑通风系统设计,赵教授,实验资源丰富，重视实践能力
惠派国际公司传媒有限公司大学,重庆,绿色建筑设计,高教授,科研氛围浓厚，适合深入发展
合联电子传媒有限公司大学,广州,暖通系统仿真,刘教授,科研氛围浓厚，适合深入发展
创联世纪信息有限公司大学,重庆,建筑设备与自动化,夏教授,实验资源丰富，重视实践能力
恩悌传媒有限公司大学,哈尔滨,热舒适研究,周教授,实验资源丰富，重视实践能力
商软冠联信息有限公司大学,武汉,可再生能源建筑应用,陈教授,科研氛围浓厚，适合深入发展
迪摩科技有限公司大学,沈阳,智能控制,吕教授,适合从事建筑节能与智能化研究
四通网络有限公司大学,广州,热舒适研究,陈教授,课题方向契合国家战略，发展前景好
银嘉信息有限公司大学,沈阳,绿色建筑设计,黄教授,科研氛围浓厚，适合深入发展
开发区世创信息有限公司大学,北京,暖通系统仿真,周教授,科研氛围浓厚，适合深入发展
联软科技有限公司大学,哈尔滨,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
和泰传媒有限公司大学,重庆,智能控制,金教授,课题方向契合国家战略，发展前景好
通际名联科技有限公司大学,重庆,建筑节能,张教授,实验资源丰富，重视实践能力
恒聪百汇传媒有限公司大学,北京,建筑节能,张教授,课题方向契合国家战略，发展前景好
数字100网络有限公司大学,北京,碳中和技术,唐教授,科研氛围浓厚，适合深入发展
昂歌信息网络有限公司大学,北京,建筑环境与能源应用工程,张教授,科研氛围浓厚，适合深入发展
商软冠联科技有限公司大学,天津,建筑通风系统设计,秦教授,导师指导细致，团队合作密切
诺依曼软件信息有限公司大学,成都,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
济南亿次元传媒有限公司大学,北京,碳中和技术,李教授,导师指导细致，团队合作密切
时空盒数字传媒有限公司大学,北京,可再生能源建筑应用,王教授,实验资源丰富，重视实践能力
盟新传媒有限公司大学,武汉,室内环境控制,赵教授,实验资源丰富，重视实践能力
恩悌信息有限公司大学,北京,绿色建筑设计,张教授,导师指导细致，团队合作密切
数字100科技有限公司大学,哈尔滨,可再生能源建筑应用,陈教授,科研氛围浓厚，适合深入发展
中建创业信息有限公司大学,成都,碳中和技术,郭教授,导师指导细致，团队合作密切
黄石金承传媒有限公司大学,青岛,建筑设备与自动化,冯教授,适合从事建筑节能与智能化研究
诺依曼软件科技有限公司大学,哈尔滨,建筑设备与自动化,王教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,上海,热舒适研究,李教授,适合从事建筑节能与智能化研究
菊风公司信息有限公司大学,南京,热舒适研究,廖教授,实验资源丰富，重视实践能力
立信电子网络有限公司大学,青岛,智能控制,李教授,课题方向契合国家战略，发展前景好
新格林耐特传媒有限公司大学,上海,热舒适研究,林教授,导师指导细致，团队合作密切
创联世纪传媒有限公司大学,广州,热舒适研究,王教授,实验资源丰富，重视实践能力
四通信息有限公司大学,北京,绿色建筑设计,杨教授,科研氛围浓厚，适合深入发展
创联世纪网络有限公司大学,哈尔滨,建筑节能,李教授,科研氛围浓厚，适合深入发展
良诺网络有限公司大学,上海,智能控制,许教授,实验资源丰富，重视实践能力
数字100传媒有限公司大学,北京,碳中和技术,邱教授,实验资源丰富，重视实践能力
华泰通安科技有限公司大学,重庆,智能控制,林教授,科研氛围浓厚，适合深入发展
四通信息有限公司大学,上海,建筑通风系统设计,邢教授,实验资源丰富，重视实践能力
数字100网络有限公司大学,成都,热舒适研究,余教授,适合从事建筑节能与智能化研究
凌颖信息信息有限公司大学,广州,可再生能源建筑应用,李教授,课题方向契合国家战略，发展前景好
联软信息有限公司大学,哈尔滨,建筑环境与能源应用工程,张教授,课题方向契合国家战略，发展前景好
创汇科技有限公司大学,成都,绿色建筑设计,王教授,课题方向契合国家战略，发展前景好
易动力科技有限公司大学,广州,暖通系统仿真,王教授,实验资源丰富，重视实践能力
彩虹网络有限公司大学,上海,绿色建筑设计,胡教授,导师指导细致，团队合作密切
飞利信科技有限公司大学,广州,碳中和技术,王教授,导师指导细致，团队合作密切
诺依曼软件信息有限公司大学,北京,建筑环境与能源应用工程,袁教授,课题方向契合国家战略，发展前景好
MBP软件网络有限公司大学,沈阳,建筑环境与能源应用工程,曹教授,导师指导细致，团队合作密切
信诚致远信息有限公司大学,上海,室内环境控制,缪教授,实验资源丰富，重视实践能力
戴硕电子传媒有限公司大学,沈阳,暖通系统仿真,王教授,课题方向契合国家战略，发展前景好
图龙信息网络有限公司大学,广州,建筑设备与自动化,陆教授,科研氛围浓厚，适合深入发展
创亿信息有限公司大学,上海,热舒适研究,邓教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,成都,建筑设备与自动化,何教授,科研氛围浓厚，适合深入发展
明腾网络有限公司大学,青岛,建筑设备与自动化,董教授,适合从事建筑节能与智能化研究
趋势信息有限公司大学,北京,室内环境控制,周教授,科研氛围浓厚，适合深入发展
创汇科技有限公司大学,哈尔滨,智能控制,马教授,适合从事建筑节能与智能化研究
富罳传媒有限公司大学,北京,建筑设备与自动化,祝教授,课题方向契合国家战略，发展前景好
天益信息有限公司大学,上海,室内环境控制,刘教授,实验资源丰富，重视实践能力
MBP软件网络有限公司大学,广州,建筑环境与能源应用工程,陈教授,课题方向契合国家战略，发展前景好
鑫博腾飞科技有限公司大学,青岛,建筑环境与能源应用工程,陈教授,课题方向契合国家战略，发展前景好
恒聪百汇传媒有限公司大学,武汉,绿色建筑设计,李教授,导师指导细致，团队合作密切
MBP软件网络有限公司大学,北京,热舒适研究,杨教授,课题方向契合国家战略，发展前景好
万迅电脑科技有限公司大学,西安,可再生能源建筑应用,田教授,导师指导细致，团队合作密切
双敏电子科技有限公司大学,上海,绿色建筑设计,张教授,适合从事建筑节能与智能化研究
信诚致远信息有限公司大学,沈阳,绿色建筑设计,黄教授,适合从事建筑节能与智能化研究
迪摩信息有限公司大学,成都,建筑节能,胡教授,适合从事建筑节能与智能化研究
新格林耐特传媒有限公司大学,上海,智能控制,刘教授,科研氛围浓厚，适合深入发展
昂歌信息传媒有限公司大学,沈阳,绿色建筑设计,王教授,适合从事建筑节能与智能化研究
毕博诚科技有限公司大学,西安,碳中和技术,孙教授,科研氛围浓厚，适合深入发展
济南亿次元网络有限公司大学,哈尔滨,建筑环境与能源应用工程,张教授,适合从事建筑节能与智能化研究
昊嘉网络有限公司大学,广州,可再生能源建筑应用,乔教授,科研氛围浓厚，适合深入发展
同兴万点传媒有限公司大学,重庆,建筑设备与自动化,曾教授,适合从事建筑节能与智能化研究
太极传媒有限公司大学,西安,智能控制,黄教授,导师指导细致，团队合作密切
创汇信息有限公司大学,天津,建筑环境与能源应用工程,全教授,科研氛围浓厚，适合深入发展
新宇龙信息网络有限公司大学,西安,绿色建筑设计,刘教授,导师指导细致，团队合作密切
昊嘉信息有限公司大学,西安,建筑环境与能源应用工程,汪教授,实验资源丰富，重视实践能力
同兴万点信息有限公司大学,重庆,建筑通风系统设计,周教授,课题方向契合国家战略，发展前景好
戴硕电子信息有限公司大学,青岛,室内环境控制,何教授,科研氛围浓厚，适合深入发展
东方峻景信息有限公司大学,天津,智能控制,王教授,实验资源丰富，重视实践能力
恩悌信息有限公司大学,西安,建筑通风系统设计,吴教授,导师指导细致，团队合作密切
浙大万朋科技有限公司大学,哈尔滨,智能控制,袁教授,课题方向契合国家战略，发展前景好
鑫博腾飞传媒有限公司大学,西安,暖通系统仿真,武教授,导师指导细致，团队合作密切
商软冠联信息有限公司大学,哈尔滨,可再生能源建筑应用,林教授,导师指导细致，团队合作密切
飞海科技网络有限公司大学,重庆,建筑节能,袁教授,导师指导细致，团队合作密切
鑫博腾飞科技有限公司大学,广州,室内环境控制,李教授,导师指导细致，团队合作密切
商软冠联科技有限公司大学,西安,热舒适研究,梁教授,课题方向契合国家战略，发展前景好
恒聪百汇科技有限公司大学,天津,建筑通风系统设计,萧教授,实验资源丰富，重视实践能力
菊风公司网络有限公司大学,武汉,碳中和技术,李教授,实验资源丰富，重视实践能力
新格林耐特信息有限公司大学,北京,热舒适研究,孙教授,适合从事建筑节能与智能化研究
创联世纪网络有限公司大学,哈尔滨,暖通系统仿真,玉教授,课题方向契合国家战略，发展前景好
群英网络有限公司大学,重庆,碳中和技术,刘教授,课题方向契合国家战略，发展前景好
昂歌信息科技有限公司大学,上海,建筑通风系统设计,詹教授,科研氛围浓厚，适合深入发展
东方峻景网络有限公司大学,广州,建筑节能,向教授,课题方向契合国家战略，发展前景好
七喜网络有限公司大学,广州,可再生能源建筑应用,曹教授,适合从事建筑节能与智能化研究
商软冠联信息有限公司大学,武汉,建筑节能,李教授,课题方向契合国家战略，发展前景好
明腾信息有限公司大学,北京,建筑通风系统设计,徐教授,实验资源丰富，重视实践能力
群英科技有限公司大学,成都,碳中和技术,陈教授,课题方向契合国家战略，发展前景好
四通网络有限公司大学,北京,暖通系统仿真,梁教授,适合从事建筑节能与智能化研究
中建创业网络有限公司大学,重庆,建筑设备与自动化,曾教授,实验资源丰富，重视实践能力
快讯传媒有限公司大学,沈阳,室内环境控制,白教授,科研氛围浓厚，适合深入发展
银嘉科技有限公司大学,西安,室内环境控制,贺教授,科研氛围浓厚，适合深入发展
时空盒数字信息有限公司大学,沈阳,暖通系统仿真,雷教授,课题方向契合国家战略，发展前景好
图龙信息科技有限公司大学,西安,建筑环境与能源应用工程,史教授,适合从事建筑节能与智能化研究
恒聪百汇传媒有限公司大学,重庆,建筑设备与自动化,石教授,课题方向契合国家战略，发展前景好
盟新网络有限公司大学,上海,暖通系统仿真,周教授,实验资源丰富，重视实践能力
飞海科技传媒有限公司大学,沈阳,建筑节能,辛教授,课题方向契合国家战略，发展前景好
精芯传媒有限公司大学,上海,建筑通风系统设计,赵教授,课题方向契合国家战略，发展前景好
数字100信息有限公司大学,广州,建筑环境与能源应用工程,周教授,课题方向契合国家战略，发展前景好
时刻传媒有限公司大学,成都,可再生能源建筑应用,秦教授,实验资源丰富，重视实践能力
思优网络有限公司大学,上海,可再生能源建筑应用,吴教授,实验资源丰富，重视实践能力
雨林木风计算机传媒有限公司大学,武汉,暖通系统仿真,马教授,科研氛围浓厚，适合深入发展
新宇龙信息网络有限公司大学,沈阳,建筑环境与能源应用工程,李教授,适合从事建筑节能与智能化研究
黄石金承网络有限公司大学,重庆,暖通系统仿真,徐教授,适合从事建筑节能与智能化研究
通际名联网络有限公司大学,广州,建筑通风系统设计,陈教授,科研氛围浓厚，适合深入发展
MBP软件传媒有限公司大学,广州,绿色建筑设计,徐教授,实验资源丰富，重视实践能力
维旺明网络有限公司大学,南京,可再生能源建筑应用,杨教授,课题方向契合国家战略，发展前景好
鑫博腾飞信息有限公司大学,成都,热舒适研究,王教授,导师指导细致，团队合作密切
四通传媒有限公司大学,广州,可再生能源建筑应用,刘教授,导师指导细致，团队合作密切
维涛科技有限公司大学,西安,智能控制,韦教授,实验资源丰富，重视实践能力
海创科技有限公司大学,成都,碳中和技术,张教授,课题方向契合国家战略，发展前景好
富罳网络有限公司大学,重庆,建筑节能,杨教授,实验资源丰富，重视实践能力
太极网络有限公司大学,上海,热舒适研究,徐教授,适合从事建筑节能与智能化研究
网新恒天信息有限公司大学,哈尔滨,建筑通风系统设计,李教授,适合从事建筑节能与智能化研究
南康传媒有限公司大学,上海,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
双敏电子传媒有限公司大学,上海,可再生能源建筑应用,周教授,课题方向契合国家战略，发展前景好
富罳信息有限公司大学,哈尔滨,绿色建筑设计,樊教授,实验资源丰富，重视实践能力
合联电子科技有限公司大学,南京,绿色建筑设计,薛教授,导师指导细致，团队合作密切
立信电子传媒有限公司大学,沈阳,建筑节能,张教授,科研氛围浓厚，适合深入发展
立信电子信息有限公司大学,北京,建筑环境与能源应用工程,马教授,适合从事建筑节能与智能化研究
海创传媒有限公司大学,武汉,建筑环境与能源应用工程,张教授,导师指导细致，团队合作密切
彩虹传媒有限公司大学,广州,建筑通风系统设计,裴教授,适合从事建筑节能与智能化研究
浦华众城信息有限公司大学,南京,可再生能源建筑应用,黄教授,科研氛围浓厚，适合深入发展
维旺明传媒有限公司大学,北京,室内环境控制,李教授,实验资源丰富，重视实践能力
飞利信科技有限公司大学,西安,建筑通风系统设计,刘教授,实验资源丰富，重视实践能力
时空盒数字科技有限公司大学,哈尔滨,可再生能源建筑应用,马教授,导师指导细致，团队合作密切
明腾信息有限公司大学,上海,建筑节能,张教授,适合从事建筑节能与智能化研究
MBP软件科技有限公司大学,成都,可再生能源建筑应用,徐教授,课题方向契合国家战略，发展前景好
创联世纪网络有限公司大学,北京,暖通系统仿真,潘教授,课题方向契合国家战略，发展前景好
天开传媒有限公司大学,南京,碳中和技术,王教授,适合从事建筑节能与智能化研究
凌颖信息网络有限公司大学,广州,室内环境控制,王教授,导师指导细致，团队合作密切
数字100科技有限公司大学,青岛,建筑设备与自动化,吕教授,适合从事建筑节能与智能化研究
良诺科技有限公司大学,沈阳,可再生能源建筑应用,王教授,导师指导细致，团队合作密切
毕博诚科技有限公司大学,北京,可再生能源建筑应用,谢教授,适合从事建筑节能与智能化研究
同兴万点网络有限公司大学,南京,碳中和技术,赵教授,科研氛围浓厚，适合深入发展
新宇龙信息科技有限公司大学,上海,建筑设备与自动化,侯教授,导师指导细致，团队合作密切
飞利信网络有限公司大学,武汉,室内环境控制,阎教授,适合从事建筑节能与智能化研究
时空盒数字网络有限公司大学,成都,建筑节能,周教授,实验资源丰富，重视实践能力
创汇科技有限公司大学,西安,绿色建筑设计,龙教授,导师指导细致，团队合作密切
太极科技有限公司大学,青岛,建筑环境与能源应用工程,蔡教授,科研氛围浓厚，适合深入发展
济南亿次元传媒有限公司大学,青岛,热舒适研究,谢教授,科研氛围浓厚，适合深入发展
国讯网络有限公司大学,西安,可再生能源建筑应用,黄教授,适合从事建筑节能与智能化研究
惠派国际公司网络有限公司大学,青岛,室内环境控制,金教授,实验资源丰富，重视实践能力
精芯传媒有限公司大学,哈尔滨,绿色建筑设计,陈教授,科研氛围浓厚，适合深入发展
济南亿次元网络有限公司大学,南京,可再生能源建筑应用,简教授,导师指导细致，团队合作密切
艾提科信科技有限公司大学,重庆,建筑环境与能源应用工程,李教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,南京,建筑设备与自动化,王教授,课题方向契合国家战略，发展前景好
太极网络有限公司大学,西安,建筑节能,杜教授,课题方向契合国家战略，发展前景好
凌颖信息信息有限公司大学,南京,建筑环境与能源应用工程,李教授,科研氛围浓厚，适合深入发展
易动力网络有限公司大学,广州,建筑节能,郭教授,实验资源丰富，重视实践能力
维涛网络有限公司大学,上海,绿色建筑设计,卢教授,导师指导细致，团队合作密切
明腾科技有限公司大学,重庆,碳中和技术,蒋教授,科研氛围浓厚，适合深入发展
时空盒数字网络有限公司大学,青岛,暖通系统仿真,李教授,适合从事建筑节能与智能化研究
襄樊地球村科技有限公司大学,武汉,室内环境控制,霍教授,实验资源丰富，重视实践能力
创汇科技有限公司大学,天津,可再生能源建筑应用,李教授,科研氛围浓厚，适合深入发展
七喜网络有限公司大学,武汉,建筑节能,王教授,课题方向契合国家战略，发展前景好
时刻传媒有限公司大学,哈尔滨,建筑环境与能源应用工程,王教授,实验资源丰富，重视实践能力
凌颖信息科技有限公司大学,天津,室内环境控制,张教授,适合从事建筑节能与智能化研究
巨奥网络有限公司大学,天津,建筑节能,郭教授,课题方向契合国家战略，发展前景好
艾提科信科技有限公司大学,南京,碳中和技术,杨教授,导师指导细致，团队合作密切
盟新网络有限公司大学,广州,绿色建筑设计,赵教授,导师指导细致，团队合作密切
浦华众城科技有限公司大学,青岛,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,成都,可再生能源建筑应用,王教授,实验资源丰富，重视实践能力
商软冠联科技有限公司大学,广州,建筑环境与能源应用工程,殷教授,科研氛围浓厚，适合深入发展
泰麒麟科技有限公司大学,武汉,热舒适研究,陈教授,科研氛围浓厚，适合深入发展
盟新网络有限公司大学,天津,绿色建筑设计,陈教授,课题方向契合国家战略，发展前景好
合联电子网络有限公司大学,沈阳,建筑通风系统设计,张教授,适合从事建筑节能与智能化研究
群英信息有限公司大学,天津,建筑设备与自动化,孙教授,科研氛围浓厚，适合深入发展
万迅电脑信息有限公司大学,武汉,碳中和技术,周教授,科研氛围浓厚，适合深入发展
时空盒数字信息有限公司大学,哈尔滨,室内环境控制,靳教授,课题方向契合国家战略，发展前景好
中建创业信息有限公司大学,广州,暖通系统仿真,刘教授,适合从事建筑节能与智能化研究
惠派国际公司科技有限公司大学,广州,建筑节能,张教授,导师指导细致，团队合作密切
艾提科信科技有限公司大学,上海,建筑通风系统设计,赵教授,导师指导细致，团队合作密切
鸿睿思博网络有限公司大学,武汉,建筑环境与能源应用工程,吴教授,适合从事建筑节能与智能化研究
兰金电子科技有限公司大学,哈尔滨,智能控制,杜教授,实验资源丰富，重视实践能力
黄石金承信息有限公司大学,天津,热舒适研究,刘教授,导师指导细致，团队合作密切
创联世纪网络有限公司大学,南京,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
方正科技信息有限公司大学,广州,绿色建筑设计,赵教授,适合从事建筑节能与智能化研究
惠派国际公司网络有限公司大学,上海,建筑设备与自动化,刘教授,课题方向契合国家战略，发展前景好
富罳科技有限公司大学,沈阳,建筑通风系统设计,黄教授,适合从事建筑节能与智能化研究
襄樊地球村科技有限公司大学,天津,绿色建筑设计,许教授,科研氛围浓厚，适合深入发展
维旺明科技有限公司大学,天津,绿色建筑设计,伍教授,实验资源丰富，重视实践能力
盟新传媒有限公司大学,青岛,碳中和技术,黄教授,适合从事建筑节能与智能化研究
华泰通安传媒有限公司大学,天津,建筑通风系统设计,黄教授,课题方向契合国家战略，发展前景好
明腾传媒有限公司大学,上海,建筑节能,郑教授,实验资源丰富，重视实践能力
创联世纪科技有限公司大学,成都,热舒适研究,胡教授,科研氛围浓厚，适合深入发展
商软冠联网络有限公司大学,上海,可再生能源建筑应用,许教授,导师指导细致，团队合作密切
华成育卓网络有限公司大学,哈尔滨,热舒适研究,车教授,实验资源丰富，重视实践能力
合联电子网络有限公司大学,哈尔滨,建筑环境与能源应用工程,范教授,课题方向契合国家战略，发展前景好
襄樊地球村传媒有限公司大学,上海,室内环境控制,吕教授,导师指导细致，团队合作密切
联通时科传媒有限公司大学,广州,可再生能源建筑应用,冯教授,适合从事建筑节能与智能化研究
浦华众城科技有限公司大学,天津,室内环境控制,王教授,课题方向契合国家战略，发展前景好
图龙信息科技有限公司大学,南京,热舒适研究,苏教授,课题方向契合国家战略，发展前景好
明腾网络有限公司大学,武汉,绿色建筑设计,李教授,实验资源丰富，重视实践能力
MBP软件科技有限公司大学,重庆,可再生能源建筑应用,何教授,实验资源丰富，重视实践能力
开发区世创传媒有限公司大学,青岛,室内环境控制,姚教授,适合从事建筑节能与智能化研究
鸿睿思博传媒有限公司大学,成都,建筑设备与自动化,李教授,实验资源丰富，重视实践能力
华泰通安网络有限公司大学,广州,室内环境控制,王教授,导师指导细致，团队合作密切
戴硕电子信息有限公司大学,西安,建筑设备与自动化,沈教授,适合从事建筑节能与智能化研究
群英网络有限公司大学,南京,绿色建筑设计,刘教授,课题方向契合国家战略，发展前景好
时空盒数字传媒有限公司大学,西安,可再生能源建筑应用,黄教授,课题方向契合国家战略，发展前景好
趋势科技有限公司大学,青岛,绿色建筑设计,梁教授,课题方向契合国家战略，发展前景好
MBP软件信息有限公司大学,青岛,碳中和技术,毛教授,科研氛围浓厚，适合深入发展
诺依曼软件传媒有限公司大学,重庆,建筑节能,李教授,课题方向契合国家战略，发展前景好
恒聪百汇传媒有限公司大学,南京,建筑环境与能源应用工程,张教授,导师指导细致，团队合作密切
巨奥网络有限公司大学,沈阳,暖通系统仿真,冷教授,导师指导细致，团队合作密切
凌颖信息信息有限公司大学,重庆,绿色建筑设计,陈教授,课题方向契合国家战略，发展前景好
明腾传媒有限公司大学,成都,绿色建筑设计,邓教授,科研氛围浓厚，适合深入发展
兰金电子传媒有限公司大学,上海,碳中和技术,谷教授,导师指导细致，团队合作密切
新宇龙信息信息有限公司大学,上海,智能控制,罗教授,科研氛围浓厚，适合深入发展
恒聪百汇信息有限公司大学,西安,绿色建筑设计,吴教授,科研氛围浓厚，适合深入发展
惠派国际公司科技有限公司大学,南京,建筑设备与自动化,黄教授,适合从事建筑节能与智能化研究
昂歌信息科技有限公司大学,西安,暖通系统仿真,刘教授,实验资源丰富，重视实践能力
维涛传媒有限公司大学,广州,可再生能源建筑应用,方教授,适合从事建筑节能与智能化研究
恩悌传媒有限公司大学,天津,室内环境控制,杨教授,实验资源丰富，重视实践能力
华远软件网络有限公司大学,武汉,智能控制,张教授,适合从事建筑节能与智能化研究
天开网络有限公司大学,青岛,热舒适研究,徐教授,导师指导细致，团队合作密切
诺依曼软件科技有限公司大学,天津,建筑设备与自动化,梁教授,适合从事建筑节能与智能化研究
华远软件信息有限公司大学,广州,碳中和技术,邹教授,实验资源丰富，重视实践能力
新格林耐特信息有限公司大学,武汉,热舒适研究,杨教授,科研氛围浓厚，适合深入发展
盟新科技有限公司大学,北京,建筑通风系统设计,胡教授,科研氛围浓厚，适合深入发展
图龙信息信息有限公司大学,青岛,建筑节能,程教授,实验资源丰富，重视实践能力
银嘉信息有限公司大学,南京,可再生能源建筑应用,曹教授,课题方向契合国家战略，发展前景好
商软冠联网络有限公司大学,上海,建筑环境与能源应用工程,张教授,适合从事建筑节能与智能化研究
合联电子网络有限公司大学,广州,建筑通风系统设计,张教授,适合从事建筑节能与智能化研究
诺依曼软件传媒有限公司大学,西安,碳中和技术,张教授,实验资源丰富，重视实践能力
四通科技有限公司大学,哈尔滨,绿色建筑设计,刘教授,实验资源丰富，重视实践能力
华远软件科技有限公司大学,西安,热舒适研究,丁教授,导师指导细致，团队合作密切
新宇龙信息传媒有限公司大学,西安,碳中和技术,蔡教授,课题方向契合国家战略，发展前景好
超艺传媒有限公司大学,重庆,建筑节能,刘教授,适合从事建筑节能与智能化研究
盟新科技有限公司大学,上海,暖通系统仿真,王教授,科研氛围浓厚，适合深入发展
商软冠联网络有限公司大学,青岛,室内环境控制,刘教授,导师指导细致，团队合作密切
昂歌信息信息有限公司大学,武汉,可再生能源建筑应用,王教授,导师指导细致，团队合作密切
立信电子信息有限公司大学,西安,室内环境控制,甄教授,科研氛围浓厚，适合深入发展
东方峻景信息有限公司大学,沈阳,室内环境控制,窦教授,适合从事建筑节能与智能化研究
维旺明信息有限公司大学,广州,智能控制,王教授,科研氛围浓厚，适合深入发展
戴硕电子传媒有限公司大学,青岛,绿色建筑设计,张教授,实验资源丰富，重视实践能力
戴硕电子传媒有限公司大学,天津,碳中和技术,张教授,适合从事建筑节能与智能化研究
