学校,地区,专业方向,导师,推荐建议
合联电子网络有限公司大学,西安,智能控制,李教授,课题方向契合国家战略，发展前景好
戴硕电子信息有限公司大学,天津,建筑环境与能源应用工程,李教授,科研氛围浓厚，适合深入发展
黄石金承网络有限公司大学,青岛,热舒适研究,张教授,导师指导细致，团队合作密切
华远软件科技有限公司大学,青岛,绿色建筑设计,谢教授,适合从事建筑节能与智能化研究
创汇传媒有限公司大学,武汉,暖通系统仿真,居教授,实验资源丰富，重视实践能力
彩虹传媒有限公司大学,青岛,碳中和技术,刘教授,科研氛围浓厚，适合深入发展
飞利信传媒有限公司大学,成都,室内环境控制,徐教授,科研氛围浓厚，适合深入发展
图龙信息网络有限公司大学,武汉,建筑环境与能源应用工程,周教授,课题方向契合国家战略，发展前景好
毕博诚网络有限公司大学,天津,暖通系统仿真,陈教授,课题方向契合国家战略，发展前景好
太极网络有限公司大学,哈尔滨,建筑环境与能源应用工程,陈教授,实验资源丰富，重视实践能力
晖来计算机信息有限公司大学,西安,智能控制,吕教授,导师指导细致，团队合作密切
迪摩科技有限公司大学,北京,建筑节能,杨教授,导师指导细致，团队合作密切
万迅电脑网络有限公司大学,沈阳,绿色建筑设计,卓教授,课题方向契合国家战略，发展前景好
飞海科技网络有限公司大学,上海,绿色建筑设计,刘教授,导师指导细致，团队合作密切
盟新信息有限公司大学,南京,建筑节能,谢教授,科研氛围浓厚，适合深入发展
明腾传媒有限公司大学,成都,绿色建筑设计,桑教授,适合从事建筑节能与智能化研究
明腾信息有限公司大学,南京,建筑节能,汪教授,课题方向契合国家战略，发展前景好
商软冠联信息有限公司大学,上海,建筑通风系统设计,石教授,课题方向契合国家战略，发展前景好
华泰通安信息有限公司大学,重庆,建筑环境与能源应用工程,刘教授,课题方向契合国家战略，发展前景好
快讯传媒有限公司大学,西安,智能控制,兰教授,导师指导细致，团队合作密切
超艺网络有限公司大学,南京,热舒适研究,顾教授,科研氛围浓厚，适合深入发展
新宇龙信息信息有限公司大学,哈尔滨,绿色建筑设计,赵教授,科研氛围浓厚，适合深入发展
联通时科科技有限公司大学,青岛,绿色建筑设计,李教授,课题方向契合国家战略，发展前景好
双敏电子网络有限公司大学,上海,建筑设备与自动化,何教授,适合从事建筑节能与智能化研究
明腾传媒有限公司大学,武汉,暖通系统仿真,叶教授,课题方向契合国家战略，发展前景好
泰麒麟传媒有限公司大学,上海,建筑环境与能源应用工程,冯教授,科研氛围浓厚，适合深入发展
维涛信息有限公司大学,哈尔滨,热舒适研究,李教授,课题方向契合国家战略，发展前景好
合联电子网络有限公司大学,成都,建筑节能,路教授,课题方向契合国家战略，发展前景好
新宇龙信息科技有限公司大学,南京,热舒适研究,索教授,课题方向契合国家战略，发展前景好
图龙信息信息有限公司大学,成都,热舒适研究,蔡教授,课题方向契合国家战略，发展前景好
易动力网络有限公司大学,广州,建筑环境与能源应用工程,舒教授,实验资源丰富，重视实践能力
兰金电子科技有限公司大学,北京,室内环境控制,张教授,适合从事建筑节能与智能化研究
七喜信息有限公司大学,重庆,建筑设备与自动化,马教授,适合从事建筑节能与智能化研究
黄石金承科技有限公司大学,广州,暖通系统仿真,陈教授,适合从事建筑节能与智能化研究
昊嘉网络有限公司大学,广州,室内环境控制,季教授,科研氛围浓厚，适合深入发展
和泰网络有限公司大学,西安,绿色建筑设计,边教授,适合从事建筑节能与智能化研究
鸿睿思博信息有限公司大学,西安,暖通系统仿真,刘教授,课题方向契合国家战略，发展前景好
南康网络有限公司大学,广州,建筑通风系统设计,梁教授,导师指导细致，团队合作密切
迪摩传媒有限公司大学,广州,暖通系统仿真,褚教授,导师指导细致，团队合作密切
太极信息有限公司大学,南京,碳中和技术,胡教授,适合从事建筑节能与智能化研究
艾提科信信息有限公司大学,青岛,暖通系统仿真,王教授,课题方向契合国家战略，发展前景好
维涛传媒有限公司大学,武汉,热舒适研究,李教授,科研氛围浓厚，适合深入发展
通际名联网络有限公司大学,武汉,建筑设备与自动化,翟教授,实验资源丰富，重视实践能力
迪摩网络有限公司大学,南京,建筑环境与能源应用工程,徐教授,适合从事建筑节能与智能化研究
明腾网络有限公司大学,南京,智能控制,张教授,实验资源丰富，重视实践能力
精芯传媒有限公司大学,沈阳,碳中和技术,陈教授,导师指导细致，团队合作密切
中建创业传媒有限公司大学,武汉,可再生能源建筑应用,李教授,导师指导细致，团队合作密切
易动力信息有限公司大学,武汉,建筑节能,罗教授,适合从事建筑节能与智能化研究
趋势网络有限公司大学,上海,建筑设备与自动化,王教授,导师指导细致，团队合作密切
思优信息有限公司大学,天津,建筑环境与能源应用工程,郭教授,科研氛围浓厚，适合深入发展
九方传媒有限公司大学,北京,可再生能源建筑应用,焦教授,课题方向契合国家战略，发展前景好
维旺明传媒有限公司大学,广州,热舒适研究,张教授,课题方向契合国家战略，发展前景好
戴硕电子传媒有限公司大学,西安,暖通系统仿真,赵教授,实验资源丰富，重视实践能力
天益网络有限公司大学,南京,建筑通风系统设计,王教授,导师指导细致，团队合作密切
明腾网络有限公司大学,西安,可再生能源建筑应用,何教授,导师指导细致，团队合作密切
维旺明科技有限公司大学,沈阳,建筑环境与能源应用工程,何教授,实验资源丰富，重视实践能力
诺依曼软件网络有限公司大学,天津,暖通系统仿真,郑教授,实验资源丰富，重视实践能力
信诚致远网络有限公司大学,南京,建筑设备与自动化,朱教授,导师指导细致，团队合作密切
思优科技有限公司大学,重庆,智能控制,胡教授,科研氛围浓厚，适合深入发展
万迅电脑信息有限公司大学,武汉,可再生能源建筑应用,孙教授,适合从事建筑节能与智能化研究
精芯信息有限公司大学,哈尔滨,热舒适研究,陈教授,课题方向契合国家战略，发展前景好
菊风公司网络有限公司大学,重庆,绿色建筑设计,余教授,课题方向契合国家战略，发展前景好
创联世纪信息有限公司大学,重庆,绿色建筑设计,王教授,课题方向契合国家战略，发展前景好
飞海科技网络有限公司大学,西安,建筑通风系统设计,林教授,课题方向契合国家战略，发展前景好
东方峻景科技有限公司大学,南京,建筑设备与自动化,萧教授,课题方向契合国家战略，发展前景好
黄石金承科技有限公司大学,成都,碳中和技术,甘教授,导师指导细致，团队合作密切
海创传媒有限公司大学,重庆,建筑通风系统设计,张教授,科研氛围浓厚，适合深入发展
易动力传媒有限公司大学,武汉,热舒适研究,黄教授,课题方向契合国家战略，发展前景好
泰麒麟传媒有限公司大学,西安,暖通系统仿真,杨教授,导师指导细致，团队合作密切
鑫博腾飞科技有限公司大学,广州,可再生能源建筑应用,张教授,导师指导细致，团队合作密切
诺依曼软件科技有限公司大学,上海,碳中和技术,杨教授,科研氛围浓厚，适合深入发展
飞利信网络有限公司大学,沈阳,建筑通风系统设计,李教授,科研氛围浓厚，适合深入发展
创亿传媒有限公司大学,成都,暖通系统仿真,张教授,实验资源丰富，重视实践能力
创联世纪传媒有限公司大学,天津,碳中和技术,周教授,实验资源丰富，重视实践能力
凌云网络有限公司大学,武汉,绿色建筑设计,杜教授,导师指导细致，团队合作密切
创联世纪网络有限公司大学,天津,可再生能源建筑应用,韩教授,适合从事建筑节能与智能化研究
超艺网络有限公司大学,重庆,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
盟新科技有限公司大学,重庆,建筑通风系统设计,李教授,适合从事建筑节能与智能化研究
MBP软件传媒有限公司大学,武汉,绿色建筑设计,姜教授,实验资源丰富，重视实践能力
银嘉传媒有限公司大学,重庆,暖通系统仿真,李教授,适合从事建筑节能与智能化研究
信诚致远网络有限公司大学,哈尔滨,室内环境控制,朱教授,实验资源丰富，重视实践能力
新格林耐特传媒有限公司大学,广州,建筑设备与自动化,胡教授,科研氛围浓厚，适合深入发展
数字100科技有限公司大学,天津,建筑节能,姚教授,科研氛围浓厚，适合深入发展
数字100信息有限公司大学,南京,热舒适研究,李教授,适合从事建筑节能与智能化研究
合联电子信息有限公司大学,广州,建筑节能,张教授,实验资源丰富，重视实践能力
鸿睿思博科技有限公司大学,沈阳,智能控制,徐教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,青岛,室内环境控制,屈教授,导师指导细致，团队合作密切
富罳传媒有限公司大学,重庆,暖通系统仿真,王教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,哈尔滨,建筑设备与自动化,邹教授,导师指导细致，团队合作密切
海创信息有限公司大学,北京,绿色建筑设计,万教授,课题方向契合国家战略，发展前景好
维涛科技有限公司大学,北京,建筑通风系统设计,萧教授,实验资源丰富，重视实践能力
同兴万点信息有限公司大学,哈尔滨,热舒适研究,李教授,适合从事建筑节能与智能化研究
海创科技有限公司大学,北京,可再生能源建筑应用,郎教授,实验资源丰富，重视实践能力
七喜信息有限公司大学,沈阳,室内环境控制,林教授,导师指导细致，团队合作密切
浦华众城科技有限公司大学,青岛,可再生能源建筑应用,赵教授,实验资源丰富，重视实践能力
恩悌网络有限公司大学,上海,智能控制,朱教授,实验资源丰富，重视实践能力
菊风公司传媒有限公司大学,重庆,建筑节能,田教授,导师指导细致，团队合作密切
兰金电子科技有限公司大学,上海,建筑通风系统设计,张教授,科研氛围浓厚，适合深入发展
九方网络有限公司大学,青岛,智能控制,杨教授,实验资源丰富，重视实践能力
毕博诚传媒有限公司大学,青岛,暖通系统仿真,孙教授,导师指导细致，团队合作密切
数字100科技有限公司大学,沈阳,建筑设备与自动化,梁教授,实验资源丰富，重视实践能力
银嘉科技有限公司大学,成都,建筑通风系统设计,秦教授,科研氛围浓厚，适合深入发展
毕博诚传媒有限公司大学,西安,智能控制,张教授,课题方向契合国家战略，发展前景好
和泰网络有限公司大学,哈尔滨,建筑设备与自动化,张教授,科研氛围浓厚，适合深入发展
东方峻景信息有限公司大学,北京,智能控制,舒教授,实验资源丰富，重视实践能力
菊风公司网络有限公司大学,西安,可再生能源建筑应用,赵教授,实验资源丰富，重视实践能力
时空盒数字科技有限公司大学,重庆,热舒适研究,卢教授,适合从事建筑节能与智能化研究
天益信息有限公司大学,西安,建筑设备与自动化,杜教授,适合从事建筑节能与智能化研究
新宇龙信息传媒有限公司大学,天津,室内环境控制,曹教授,适合从事建筑节能与智能化研究
双敏电子网络有限公司大学,重庆,建筑通风系统设计,秦教授,适合从事建筑节能与智能化研究
国讯网络有限公司大学,沈阳,建筑通风系统设计,刘教授,实验资源丰富，重视实践能力
创汇传媒有限公司大学,重庆,建筑环境与能源应用工程,彭教授,课题方向契合国家战略，发展前景好
昂歌信息信息有限公司大学,广州,建筑设备与自动化,王教授,实验资源丰富，重视实践能力
飞海科技科技有限公司大学,哈尔滨,建筑通风系统设计,张教授,实验资源丰富，重视实践能力
万迅电脑信息有限公司大学,青岛,智能控制,高教授,适合从事建筑节能与智能化研究
中建创业科技有限公司大学,广州,绿色建筑设计,杨教授,实验资源丰富，重视实践能力
同兴万点信息有限公司大学,沈阳,建筑通风系统设计,申教授,导师指导细致，团队合作密切
时空盒数字网络有限公司大学,天津,建筑通风系统设计,戴教授,适合从事建筑节能与智能化研究
新宇龙信息传媒有限公司大学,哈尔滨,建筑节能,韩教授,导师指导细致，团队合作密切
华远软件网络有限公司大学,西安,碳中和技术,程教授,导师指导细致，团队合作密切
济南亿次元信息有限公司大学,西安,碳中和技术,朱教授,实验资源丰富，重视实践能力
惠派国际公司网络有限公司大学,天津,建筑设备与自动化,陈教授,科研氛围浓厚，适合深入发展
新格林耐特信息有限公司大学,北京,室内环境控制,蒋教授,实验资源丰富，重视实践能力
群英网络有限公司大学,沈阳,建筑通风系统设计,张教授,导师指导细致，团队合作密切
时刻科技有限公司大学,天津,建筑通风系统设计,路教授,导师指导细致，团队合作密切
毕博诚科技有限公司大学,重庆,热舒适研究,常教授,科研氛围浓厚，适合深入发展
创联世纪传媒有限公司大学,哈尔滨,建筑节能,周教授,实验资源丰富，重视实践能力
华远软件传媒有限公司大学,广州,智能控制,姜教授,导师指导细致，团队合作密切
盟新信息有限公司大学,哈尔滨,可再生能源建筑应用,盛教授,实验资源丰富，重视实践能力
群英传媒有限公司大学,上海,建筑通风系统设计,刘教授,科研氛围浓厚，适合深入发展
明腾信息有限公司大学,武汉,建筑环境与能源应用工程,邓教授,课题方向契合国家战略，发展前景好
太极科技有限公司大学,天津,暖通系统仿真,陆教授,适合从事建筑节能与智能化研究
毕博诚网络有限公司大学,南京,建筑通风系统设计,刘教授,导师指导细致，团队合作密切
创汇信息有限公司大学,天津,绿色建筑设计,许教授,适合从事建筑节能与智能化研究
方正科技网络有限公司大学,南京,绿色建筑设计,夏教授,实验资源丰富，重视实践能力
群英网络有限公司大学,广州,可再生能源建筑应用,甘教授,导师指导细致，团队合作密切
七喜信息有限公司大学,北京,智能控制,梁教授,科研氛围浓厚，适合深入发展
南康传媒有限公司大学,天津,智能控制,陈教授,实验资源丰富，重视实践能力
浦华众城网络有限公司大学,北京,建筑通风系统设计,任教授,实验资源丰富，重视实践能力
浙大万朋科技有限公司大学,上海,暖通系统仿真,瞿教授,适合从事建筑节能与智能化研究
合联电子科技有限公司大学,南京,建筑节能,刘教授,科研氛围浓厚，适合深入发展
华泰通安科技有限公司大学,广州,智能控制,董教授,适合从事建筑节能与智能化研究
迪摩传媒有限公司大学,成都,室内环境控制,刘教授,科研氛围浓厚，适合深入发展
恩悌科技有限公司大学,重庆,碳中和技术,马教授,实验资源丰富，重视实践能力
万迅电脑信息有限公司大学,成都,建筑环境与能源应用工程,张教授,导师指导细致，团队合作密切
富罳信息有限公司大学,沈阳,建筑节能,王教授,科研氛围浓厚，适合深入发展
精芯传媒有限公司大学,广州,智能控制,刘教授,适合从事建筑节能与智能化研究
凌颖信息科技有限公司大学,哈尔滨,建筑设备与自动化,吕教授,科研氛围浓厚，适合深入发展
七喜传媒有限公司大学,重庆,室内环境控制,李教授,课题方向契合国家战略，发展前景好
东方峻景科技有限公司大学,成都,建筑设备与自动化,刘教授,实验资源丰富，重视实践能力
数字100网络有限公司大学,成都,热舒适研究,南教授,适合从事建筑节能与智能化研究
惠派国际公司信息有限公司大学,青岛,可再生能源建筑应用,贺教授,课题方向契合国家战略，发展前景好
戴硕电子信息有限公司大学,北京,建筑设备与自动化,王教授,导师指导细致，团队合作密切
昊嘉科技有限公司大学,成都,暖通系统仿真,徐教授,科研氛围浓厚，适合深入发展
兰金电子传媒有限公司大学,上海,建筑设备与自动化,纪教授,课题方向契合国家战略，发展前景好
开发区世创信息有限公司大学,广州,绿色建筑设计,杨教授,适合从事建筑节能与智能化研究
群英网络有限公司大学,成都,碳中和技术,曾教授,实验资源丰富，重视实践能力
趋势传媒有限公司大学,南京,可再生能源建筑应用,周教授,课题方向契合国家战略，发展前景好
惠派国际公司传媒有限公司大学,哈尔滨,绿色建筑设计,马教授,实验资源丰富，重视实践能力
双敏电子信息有限公司大学,北京,室内环境控制,赵教授,导师指导细致，团队合作密切
维涛科技有限公司大学,南京,室内环境控制,刘教授,实验资源丰富，重视实践能力
方正科技科技有限公司大学,南京,可再生能源建筑应用,井教授,导师指导细致，团队合作密切
东方峻景信息有限公司大学,西安,建筑环境与能源应用工程,张教授,实验资源丰富，重视实践能力
泰麒麟网络有限公司大学,重庆,暖通系统仿真,周教授,适合从事建筑节能与智能化研究
天益信息有限公司大学,哈尔滨,绿色建筑设计,宋教授,适合从事建筑节能与智能化研究
良诺信息有限公司大学,沈阳,建筑设备与自动化,詹教授,适合从事建筑节能与智能化研究
盟新网络有限公司大学,天津,建筑通风系统设计,方教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,重庆,热舒适研究,倪教授,导师指导细致，团队合作密切
七喜信息有限公司大学,上海,建筑通风系统设计,曾教授,导师指导细致，团队合作密切
易动力网络有限公司大学,沈阳,建筑环境与能源应用工程,王教授,适合从事建筑节能与智能化研究
太极网络有限公司大学,南京,建筑环境与能源应用工程,杨教授,适合从事建筑节能与智能化研究
方正科技网络有限公司大学,南京,热舒适研究,张教授,适合从事建筑节能与智能化研究
维涛信息有限公司大学,天津,智能控制,邹教授,实验资源丰富，重视实践能力
七喜信息有限公司大学,沈阳,碳中和技术,王教授,科研氛围浓厚，适合深入发展
戴硕电子网络有限公司大学,武汉,绿色建筑设计,曾教授,导师指导细致，团队合作密切
通际名联信息有限公司大学,青岛,建筑节能,李教授,实验资源丰富，重视实践能力
菊风公司网络有限公司大学,西安,暖通系统仿真,罗教授,导师指导细致，团队合作密切
东方峻景传媒有限公司大学,成都,绿色建筑设计,章教授,课题方向契合国家战略，发展前景好
MBP软件信息有限公司大学,武汉,室内环境控制,杨教授,导师指导细致，团队合作密切
银嘉传媒有限公司大学,广州,建筑通风系统设计,聂教授,实验资源丰富，重视实践能力
超艺网络有限公司大学,成都,建筑设备与自动化,江教授,导师指导细致，团队合作密切
网新恒天网络有限公司大学,北京,热舒适研究,国教授,课题方向契合国家战略，发展前景好
恒聪百汇信息有限公司大学,北京,智能控制,耿教授,适合从事建筑节能与智能化研究
天开传媒有限公司大学,上海,可再生能源建筑应用,史教授,适合从事建筑节能与智能化研究
华远软件科技有限公司大学,南京,绿色建筑设计,薛教授,导师指导细致，团队合作密切
网新恒天信息有限公司大学,成都,智能控制,顾教授,科研氛围浓厚，适合深入发展
雨林木风计算机网络有限公司大学,南京,热舒适研究,陈教授,适合从事建筑节能与智能化研究
易动力网络有限公司大学,哈尔滨,智能控制,李教授,课题方向契合国家战略，发展前景好
易动力网络有限公司大学,北京,碳中和技术,边教授,科研氛围浓厚，适合深入发展
数字100信息有限公司大学,武汉,建筑环境与能源应用工程,包教授,适合从事建筑节能与智能化研究
佳禾传媒有限公司大学,南京,建筑设备与自动化,韦教授,科研氛围浓厚，适合深入发展
惠派国际公司传媒有限公司大学,西安,热舒适研究,冯教授,科研氛围浓厚，适合深入发展
时刻网络有限公司大学,武汉,智能控制,刘教授,课题方向契合国家战略，发展前景好
浦华众城网络有限公司大学,西安,建筑设备与自动化,张教授,导师指导细致，团队合作密切
网新恒天网络有限公司大学,哈尔滨,智能控制,任教授,导师指导细致，团队合作密切
菊风公司信息有限公司大学,成都,绿色建筑设计,田教授,适合从事建筑节能与智能化研究
彩虹网络有限公司大学,成都,室内环境控制,张教授,实验资源丰富，重视实践能力
双敏电子信息有限公司大学,北京,建筑设备与自动化,王教授,科研氛围浓厚，适合深入发展
思优网络有限公司大学,哈尔滨,建筑通风系统设计,梁教授,实验资源丰富，重视实践能力
商软冠联网络有限公司大学,青岛,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,武汉,智能控制,朱教授,科研氛围浓厚，适合深入发展
浦华众城网络有限公司大学,成都,绿色建筑设计,张教授,导师指导细致，团队合作密切
精芯传媒有限公司大学,青岛,建筑节能,陈教授,科研氛围浓厚，适合深入发展
思优网络有限公司大学,沈阳,智能控制,吴教授,实验资源丰富，重视实践能力
易动力传媒有限公司大学,广州,智能控制,孙教授,适合从事建筑节能与智能化研究
华成育卓科技有限公司大学,哈尔滨,智能控制,杨教授,导师指导细致，团队合作密切
超艺网络有限公司大学,西安,建筑设备与自动化,郑教授,科研氛围浓厚，适合深入发展
快讯网络有限公司大学,沈阳,室内环境控制,蔡教授,导师指导细致，团队合作密切
九方传媒有限公司大学,青岛,碳中和技术,杨教授,适合从事建筑节能与智能化研究
东方峻景传媒有限公司大学,天津,建筑设备与自动化,林教授,实验资源丰富，重视实践能力
商软冠联传媒有限公司大学,广州,可再生能源建筑应用,潘教授,科研氛围浓厚，适合深入发展
创联世纪科技有限公司大学,西安,建筑设备与自动化,岑教授,导师指导细致，团队合作密切
中建创业传媒有限公司大学,沈阳,暖通系统仿真,卢教授,导师指导细致，团队合作密切
银嘉信息有限公司大学,南京,室内环境控制,周教授,课题方向契合国家战略，发展前景好
国讯网络有限公司大学,武汉,可再生能源建筑应用,刘教授,适合从事建筑节能与智能化研究
MBP软件科技有限公司大学,上海,热舒适研究,李教授,科研氛围浓厚，适合深入发展
黄石金承科技有限公司大学,重庆,智能控制,张教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,成都,建筑环境与能源应用工程,王教授,课题方向契合国家战略，发展前景好
恒聪百汇信息有限公司大学,南京,绿色建筑设计,周教授,适合从事建筑节能与智能化研究
黄石金承信息有限公司大学,武汉,建筑环境与能源应用工程,萧教授,实验资源丰富，重视实践能力
艾提科信信息有限公司大学,成都,建筑设备与自动化,汤教授,适合从事建筑节能与智能化研究
创亿科技有限公司大学,哈尔滨,建筑通风系统设计,王教授,课题方向契合国家战略，发展前景好
联软网络有限公司大学,重庆,室内环境控制,王教授,适合从事建筑节能与智能化研究
晖来计算机科技有限公司大学,成都,建筑设备与自动化,范教授,导师指导细致，团队合作密切
泰麒麟传媒有限公司大学,天津,室内环境控制,刘教授,实验资源丰富，重视实践能力
创汇科技有限公司大学,广州,暖通系统仿真,魏教授,课题方向契合国家战略，发展前景好
浙大万朋信息有限公司大学,北京,建筑环境与能源应用工程,姜教授,课题方向契合国家战略，发展前景好
商软冠联网络有限公司大学,青岛,绿色建筑设计,马教授,科研氛围浓厚，适合深入发展
维旺明网络有限公司大学,沈阳,智能控制,李教授,导师指导细致，团队合作密切
合联电子信息有限公司大学,南京,暖通系统仿真,杨教授,适合从事建筑节能与智能化研究
太极信息有限公司大学,南京,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
济南亿次元信息有限公司大学,天津,暖通系统仿真,张教授,科研氛围浓厚，适合深入发展
济南亿次元传媒有限公司大学,重庆,热舒适研究,李教授,导师指导细致，团队合作密切
浦华众城网络有限公司大学,北京,碳中和技术,马教授,实验资源丰富，重视实践能力
银嘉网络有限公司大学,武汉,建筑设备与自动化,温教授,实验资源丰富，重视实践能力
东方峻景网络有限公司大学,上海,热舒适研究,龙教授,科研氛围浓厚，适合深入发展
联通时科科技有限公司大学,广州,建筑节能,潘教授,科研氛围浓厚，适合深入发展
方正科技传媒有限公司大学,哈尔滨,暖通系统仿真,李教授,科研氛围浓厚，适合深入发展
和泰传媒有限公司大学,北京,室内环境控制,姬教授,科研氛围浓厚，适合深入发展
联软科技有限公司大学,重庆,暖通系统仿真,张教授,导师指导细致，团队合作密切
华远软件传媒有限公司大学,西安,碳中和技术,孔教授,实验资源丰富，重视实践能力
明腾科技有限公司大学,重庆,智能控制,巫教授,适合从事建筑节能与智能化研究
济南亿次元传媒有限公司大学,北京,暖通系统仿真,刘教授,实验资源丰富，重视实践能力
昊嘉科技有限公司大学,沈阳,建筑通风系统设计,牟教授,实验资源丰富，重视实践能力
天开网络有限公司大学,沈阳,室内环境控制,蔡教授,导师指导细致，团队合作密切
济南亿次元信息有限公司大学,广州,建筑节能,池教授,导师指导细致，团队合作密切
数字100科技有限公司大学,成都,室内环境控制,张教授,科研氛围浓厚，适合深入发展
合联电子传媒有限公司大学,广州,建筑节能,佟教授,课题方向契合国家战略，发展前景好
浙大万朋信息有限公司大学,天津,建筑节能,李教授,实验资源丰富，重视实践能力
趋势科技有限公司大学,北京,建筑节能,杨教授,导师指导细致，团队合作密切
数字100传媒有限公司大学,上海,绿色建筑设计,侯教授,导师指导细致，团队合作密切
晖来计算机传媒有限公司大学,重庆,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
图龙信息网络有限公司大学,广州,智能控制,任教授,课题方向契合国家战略，发展前景好
